planet,Study_area,win_start,n_months,truth_trend_cmyr
pilot_uniform_depletion_v2,Central Eromanga Depocenter (Great Artesian Basin),2008,92,-0.9873650552843937
pilot_uniform_depletion_v2,Central Eromanga Depocenter (Great Artesian Basin),2009,88,-1.7562683209301277
pilot_uniform_depletion_v2,Central Eromanga Depocenter (Great Artesian Basin),2010,88,-2.516883471567203
pilot_uniform_depletion_v2,Central Eromanga Depocenter (Great Artesian Basin),2011,89,-2.2418679956132332
pilot_uniform_depletion_v2,Central Eromanga Depocenter (Great Artesian Basin),2012,91,-1.7751298571077085
pilot_uniform_depletion_v2,Central Eromanga Depocenter (Great Artesian Basin),2013,94,-1.2171587243057824
pilot_uniform_depletion_v2,Central Eromanga Depocenter (Great Artesian Basin),2014,97,-1.0162961182691719
pilot_uniform_depletion_v2,Central Eromanga Depocenter (Great Artesian Basin),2015,99,-1.004641345077828
pilot_uniform_depletion_v2,Central Eromanga Depocenter (Great Artesian Basin),2016,100,-0.9375290507977736
pilot_uniform_depletion_v2,Western Parecis Basin (Parecis Basin),2002,114,-0.8133048810509667
pilot_uniform_depletion_v2,Western Parecis Basin (Parecis Basin),2003,113,-0.9371304168632839
pilot_uniform_depletion_v2,Western Parecis Basin (Parecis Basin),2004,111,-0.7531567346768534
pilot_uniform_depletion_v2,Western Parecis Basin (Parecis Basin),2005,109,-0.7215292427037979
pilot_uniform_depletion_v2,Western Parecis Basin (Parecis Basin),2006,105,-0.8421211471616208
pilot_uniform_depletion_v2,Western Parecis Basin (Parecis Basin),2007,101,-0.7835330072063608
pilot_uniform_depletion_v2,Western Parecis Basin (Parecis Basin),2008,92,-0.6369082395066333
pilot_uniform_depletion_v2,Western Parecis Basin (Parecis Basin),2009,88,-0.5813201334060061
pilot_uniform_depletion_v2,Western Parecis Basin (Parecis Basin),2010,88,-0.476030854982602
pilot_uniform_depletion_v2,Western Parecis Basin (Parecis Basin),2011,89,-1.19337515711051
pilot_uniform_depletion_v2,Western Parecis Basin (Parecis Basin),2012,91,-1.1853633020126784
pilot_uniform_depletion_v2,Western Parecis Basin (Parecis Basin),2013,94,-1.5893224231335212
pilot_uniform_depletion_v2,Western Parecis Basin (Parecis Basin),2014,97,-1.8191327107290987
pilot_uniform_depletion_v2,Western Parecis Basin (Parecis Basin),2015,99,-2.0613639865426294
pilot_uniform_depletion_v2,Western Parecis Basin (Parecis Basin),2016,100,-2.268579487329129
pilot_uniform_depletion_v2,Upper Gangetic Plain (Indo-Gangetic Plain),2002,114,-0.8940418814982236
pilot_uniform_depletion_v2,Upper Gangetic Plain (Indo-Gangetic Plain),2003,113,-0.9557244259352149
pilot_uniform_depletion_v2,Upper Gangetic Plain (Indo-Gangetic Plain),2004,111,-0.67789238508237
pilot_uniform_depletion_v2,Upper Gangetic Plain (Indo-Gangetic Plain),2005,109,-0.7931226213723972
pilot_uniform_depletion_v2,Upper Gangetic Plain (Indo-Gangetic Plain),2006,105,-0.9905095482371513
pilot_uniform_depletion_v2,Upper Gangetic Plain (Indo-Gangetic Plain),2007,101,-1.2483085551530348
pilot_uniform_depletion_v2,Upper Gangetic Plain (Indo-Gangetic Plain),2008,92,-1.6005709056989366
pilot_uniform_depletion_v2,Upper Gangetic Plain (Indo-Gangetic Plain),2009,88,-1.4996577811404335
pilot_uniform_depletion_v2,Upper Gangetic Plain (Indo-Gangetic Plain),2010,88,-1.2163582230070933
pilot_uniform_depletion_v2,Upper Gangetic Plain (Indo-Gangetic Plain),2011,89,-1.174495161713242
pilot_uniform_depletion_v2,Upper Gangetic Plain (Indo-Gangetic Plain),2012,91,-0.6574777098770148
pilot_uniform_depletion_v2,Upper Gangetic Plain (Indo-Gangetic Plain),2013,94,-0.4633627229527586
pilot_uniform_depletion_v2,Upper Gangetic Plain (Indo-Gangetic Plain),2014,97,-0.3059202878253555
pilot_uniform_depletion_v2,Upper Gangetic Plain (Indo-Gangetic Plain),2015,99,-0.2949252758598137
