aquifer_idx,Study_area,win_start,n_recipes,frac_pos,med_trend_cmyr,spans
38,Central High Plains (High Plains),2003,1920,0.243229,-0.526775,True
39,Lower Liaohe River Plain (Liaohe River Basin),2003,1920,0.741667,0.317588,True
40,Wadi As-Sirhan Basin,2003,1920,0.476042,-0.0279117,True
41,Eastern Saq Aquifer (Ram-Saq Aquifer System),2003,1920,0.291667,-0.228909,True
42,Trinity Aquifer System (Edwards-Trinity Aquifer System),2003,1920,0.00104167,-1.02986,True
43,Wisconsin Precambrian Aquifer,2003,1920,0.222917,-0.390836,True
44,Lafayette Area (Gulf Coast Regional Aquifer System),2003,1920,0.388542,-0.189914,True
45,Paskapoo-Scollard,2003,1920,0.617708,0.22047,True
46,Western Surat Basin (Great Artesian Basin),2003,1920,0.927604,0.976067,True
47,Coonamble Embayment (Great Artesian Basin),2003,1920,0.878646,0.989154,True
48,Mimosa Syncline and Eastern Surat Basin (Great Artesian Basin),2003,1920,0.838021,0.939066,True
49,Wuyuer-Shuangyang System (Songnen Plain),2003,1920,0.242708,-0.380072,True
50,Powder River Basin (Northern Great Plains),2003,1920,0.570833,0.17806,True
51,Central Eucla Basin (Eucla Basin),2003,1920,0.649479,0.156791,True
52,Rio Grande Delta (Gulf Coast Regional Aquifer System),2003,1920,0.078125,-0.696359,True
53,Michigan Basin,2003,1920,0.656771,0.275159,True
54,Southern Piedmont Upland (Piedmont Plateau),2003,1920,0.203646,-0.534159,True
55,Eastern Huaihe Plain (Huaihe River Basin),2003,1920,0.55,0.0664459,True
56,Northern Dharwar Craton Banded Gneiss Complex (Dharwar Craton Banded Gneiss Complex),2003,1920,0.303125,-0.197778,True
57,Eastern Mississippi Embayment (Mississippi Embayment),2003,1920,0.144271,-0.572121,True
58,Western Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),2003,1920,0.256771,-0.459721,True
59,Southeastern System (Amadeus Basin),2003,1920,0.988542,0.604447,True
60,Edwards Plateau (Edwards-Trinity Aquifer System),2003,1920,0.234896,-0.498765,True
61,Southcentral Deccan Basalt Plateau (Deccan Plateau),2003,1920,0.344792,-0.106616,True
62,Eastside Lower Indus Valley (Indus Basin),2003,1920,0.40625,-0.104617,True
63,Central Piedmont Upland (Piedmont Plateau),2003,1920,0.0104167,-1.0817,True
64,Eastern Carrizo-Wilcox (Carrizo-Wilcox),2003,1920,0.119792,-0.688485,True
65,Jiangsu Coastal Plain (Huaihe River Basin),2003,1920,0.875,0.666632,True
66,Eastern Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),2003,1920,0.426042,-0.13088,True
67,Northcentral Deccan Basalt Plateau (Deccan Plateau),2003,1920,0.247396,-0.236071,True
68,Eastside Middle Indus Plain (Indus Basin),2003,1920,0.324479,-0.152786,True
69,Central Allegheny Plateau (Appalachian Plateaus),2003,1920,0.227083,-0.425503,True
70,Northeastern Karoo Basin (Main Karoo Basin),2003,1920,0.125521,-0.316305,True
71,Southern Riverine Plains (Murray Basin),2003,1920,0.819792,0.357636,True
72,Black Warrior River Aquifer System (Eutaw and McShan Formations and Tuscaloosa Group),2003,1920,0.169271,-0.551837,True
