Study_area,term,term_type,frac,ax1,ax2,tier
Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),filter x gia_model,interaction,-1.23542957614788e-16,filter,gia_model,tier1
Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),filter x c20_treatment,interaction,2.53238370247575e-06,filter,c20_treatment,tier1
Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),filter x c30_treatment,interaction,1.26283853773576e-09,filter,c30_treatment,tier1
Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),filter x geocenter,interaction,6.57641462110809e-07,filter,geocenter,tier1
Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),gia_model x c20_treatment,interaction,-3.35330884954424e-16,gia_model,c20_treatment,tier1
Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),gia_model x c30_treatment,interaction,5.32865181442019e-16,gia_model,c30_treatment,tier1
Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),gia_model x geocenter,interaction,4.16516257101285e-15,gia_model,geocenter,tier1
Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),c20_treatment x c30_treatment,interaction,-1.5497161040644e-15,c20_treatment,c30_treatment,tier1
Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),c20_treatment x geocenter,interaction,7.76555733578666e-16,c20_treatment,geocenter,tier1
Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),c30_treatment x geocenter,interaction,2.89443500697503e-15,c30_treatment,geocenter,tier1
Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),higher-order,residual,0.000920643521703075,,,tier1
Antlers Aquifer,centre,main,0.0249623125983338,centre,,tier2
Antlers Aquifer,truncation,main,0.000681752729228945,truncation,,tier2
Antlers Aquifer,filter,main,0.519627929469575,filter,,tier2
Antlers Aquifer,gia_model,main,0.358913040600882,gia_model,,tier2
Antlers Aquifer,c20_treatment,main,2.00884236883156e-05,c20_treatment,,tier2
