Study_area,n_recipes,n_pos,n_neg,min_trend,max_trend,median_trend,frac_pos,frac_neg,sign_agree,spans_zero,tier,area_km2
Sundarbans and Southern Delta (Bengal Basin),1920,318,1602,-0.506205968032642,0.192786518597246,-0.095302190236946,0.165625,0.834375,0.834375,TRUE,tier2,22556
Palouse Slope (Columbia Plateau Regional Aquifer System),1920,317,1603,-0.885790554780676,0.459718759679511,-0.317614482237455,0.165104166666667,0.834895833333333,0.834895833333333,TRUE,tier2,15260
Mimosa Syncline and Eastern Surat Basin (Great Artesian Basin),1920,1609,311,-0.0739126563998517,0.392924095626803,0.153836064560225,0.838020833333333,0.161979166666667,0.838020833333333,TRUE,tier1,64955
Eastern Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),1920,1613,307,-0.447672672617146,0.994300381381338,0.432227400416268,0.840104166666667,0.159895833333333,0.840104166666667,TRUE,tier1,55195
Southern Paris Basin (Paris Basin),1920,300,1620,-0.738049445313057,0.312450457554068,-0.23110938410948,0.15625,0.84375,0.84375,TRUE,tier2,24635
Central Paris Basin (Paris Basin),1920,298,1622,-0.875032969824096,0.34498715246349,-0.235376503711317,0.155208333333333,0.844791666666667,0.844791666666667,TRUE,tier2,31880
Paskapoo-Scollard,1920,292,1628,-1.39889780744238,0.403797946869388,-0.322977990667824,0.152083333333333,0.847916666666667,0.847916666666667,TRUE,tier1,65768
Houston-Galveston Area (Gulf Coast Regional Aquifer System),1920,284,1636,-1.18962838446389,0.231712560546915,-0.238081086166297,0.147916666666667,0.852083333333333,0.852083333333333,TRUE,tier2,29004
Upper Deschutes Basin,1920,284,1636,-1.62820896976094,0.196601105750247,-0.355991988502055,0.147916666666667,0.852083333333333,0.852083333333333,TRUE,tier2,12455
Southwestern Bengal Basin (Bengal Basin),1920,281,1639,-0.461156094288516,0.242234760571569,-0.132323456723776,0.146354166666667,0.853645833333333,0.853645833333333,TRUE,tier2,20073
Northern Hirri Basin (Chhattisgarh Basin),1920,1640,280,-0.534557065053456,0.757158293893153,0.199137662390674,0.854166666666667,0.145833333333333,0.854166666666667,TRUE,tier2,14830
Great Bend Prairie (High Plains),1920,276,1644,-1.78348065498161,0.437560493467617,-0.469504597008362,0.14375,0.85625,0.85625,TRUE,tier2,18167
Trinity Aquifer System (Edwards-Trinity Aquifer System),1920,258,1662,-0.954446203150832,0.213873327510946,-0.250586903040339,0.134375,0.865625,0.865625,TRUE,tier1,67070
Eastern Karoo Basin (Main Karoo Basin),1920,1663,257,-0.12133471629499,0.264823234528617,0.0844130878187499,0.866145833333333,0.133854166666667,0.866145833333333,TRUE,tier2,41725
Western Riverine Plains (Murray Basin),1920,1664,256,-0.0879275597506304,0.517808648122901,0.190141030442266,0.866666666666667,0.133333333333333,0.866666666666667,TRUE,tier2,23144
North-central High Plains (High Plains),1920,253,1667,-1.86252180490171,0.402031734583441,-0.540288421339857,0.131770833333333,0.868229166666667,0.868229166666667,TRUE,tier2,18173
Northern St. Lawrence Lowlands (St. Lawrence Lowlands),1920,1670,250,-0.49057121070589,1.61864327189893,0.830570275231117,0.869791666666667,0.130208333333333,0.869791666666667,TRUE,tier2,14318
Northern Columbia River Basin (Columbia Plateau Regional Aquifer System),1920,249,1671,-1.29042272393255,0.487206044129747,-0.4123189884672,0.1296875,0.8703125,0.8703125,TRUE,tier2,12773
Southern Carpentaria Basin (Great Artesian Basin),1920,1675,245,-0.118525445911775,0.421567660729282,0.139763098574614,0.872395833333333,0.127604166666667,0.872395833333333,TRUE,tier1,124001
Southern Saurashtra Deccan Trap Basalts (Saurashtra Deccan Trap Basalts),1920,1683,237,-0.411928640682878,0.694844526198311,0.213408491249056,0.8765625,0.1234375,0.8765625,TRUE,tier2,30217
Central Karoo Basin (Main Karoo Basin),1920,1711,209,-0.0746952251435808,0.541620812035848,0.130066806479593,0.891145833333333,0.108854166666667,0.891145833333333,TRUE,tier1,128536
Southeastern Coastal Karoo Basin (Main Karoo Basin),1920,1715,205,-0.082836290526648,0.529187190095422,0.13207102046691,0.893229166666667,0.106770833333333,0.893229166666667,TRUE,tier2,28053
Eastern C Aquifer (The C Aquifer),1920,197,1723,-1.3385067451479,0.310955276547915,-0.5181370902959,0.102604166666667,0.897395833333333,0.897395833333333,TRUE,tier2,29532
Ghaap Plateau Dolomite Aquifer System,1920,1727,193,-0.295764838990748,0.648685643495992,0.139747033074988,0.899479166666667,0.100520833333333,0.899479166666667,TRUE,tier2,20319
Eastern Duero Basin (Duero Basin),1920,192,1728,-1.01329898571154,0.241614277730401,-0.259377064789232,0.1,0.9,0.9,TRUE,tier2,16257
Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),1920,190,1730,-0.409641943184015,0.121583777837523,-0.16639946075655,0.0989583333333333,0.901041666666667,0.901041666666667,TRUE,tier1,107715
Eastern Paris Basin (Paris Basin),1920,190,1730,-0.703302560989844,0.297593858468681,-0.277089912205492,0.0989583333333333,0.901041666666667,0.901041666666667,TRUE,tier2,41666
Eastern Silurian-Devonian Aquifers (Northern Midwest Aquifer System),1920,1735,185,-0.282027118627146,1.05794690808402,0.301602399264053,0.903645833333333,0.0963541666666667,0.903645833333333,TRUE,tier2,30268
Rio Grande Delta (Gulf Coast Regional Aquifer System),1920,181,1739,-1.02285868357101,0.228970210328689,-0.287591680837426,0.0942708333333333,0.905729166666667,0.905729166666667,TRUE,tier1,62984
Northern Cambrian-Ordovician Aquifers (Northern Midwest Aquifer System),1920,1740,180,-0.251236595347966,1.07263326225675,0.312973057940391,0.90625,0.09375,0.90625,TRUE,tier2,20460
Victoria Area (Gulf Coast Regional Aquifer System),1920,170,1750,-1.66391019316781,0.203417782689308,-0.370917307150214,0.0885416666666667,0.911458333333333,0.911458333333333,TRUE,tier2,31242
Northcentral Mega Aquifer System (Mega Aquifer System),1920,166,1754,-0.738614393073587,0.271652727030417,-0.323156708316219,0.0864583333333333,0.913541666666667,0.913541666666667,TRUE,tier1,179365
Central Carrizo-Wilcox (Carrizo-Wilcox),1920,158,1762,-1.18356734661964,0.200714450118194,-0.308834189720395,0.0822916666666667,0.917708333333333,0.917708333333333,TRUE,tier2,19641
Eastern Mekong Delta (Mekong Delta),1920,154,1766,-0.603593504565289,0.139871852059114,-0.15292782581921,0.0802083333333333,0.919791666666667,0.919791666666667,TRUE,tier2,35001
Missionary Plains Syncline and Mereenie Anticline (Amadeus Basin),1920,152,1768,-0.781658635752381,0.177400407407988,-0.285182975737581,0.0791666666666667,0.920833333333333,0.920833333333333,TRUE,tier2,22819
Coatzacoalcos Coastal Aquifer (Coastal Plain of Veracruz),1920,147,1773,-1.19331626120398,0.202267665872013,-0.305891566366434,0.0765625,0.9234375,0.9234375,TRUE,tier2,11209
Central Huaihe Plain (Huaihe River Basin),1920,138,1782,-1.58700416258891,0.215670383781038,-0.380302814072964,0.071875,0.928125,0.928125,TRUE,tier1,79573
Western Huaihe Plain (Huaihe River Basin),1920,137,1783,-1.24897021379518,0.230926682599641,-0.387205078126679,0.0713541666666667,0.928645833333333,0.928645833333333,TRUE,tier2,29254
Limpopo Plateau,1920,135,1785,-0.376798842807291,0.127044288553675,-0.132756974898241,0.0703125,0.9296875,0.9296875,TRUE,tier2,10209
Jianghan Plain,1920,1789,131,-0.191611070667084,0.925823978969593,0.282928549897152,0.931770833333333,0.0682291666666667,0.931770833333333,TRUE,tier2,34644
Northern San Juan Basin,1920,128,1792,-1.27160013160695,0.239207894126652,-0.465127952825594,0.0666666666666667,0.933333333333333,0.933333333333333,TRUE,tier2,20120
Eastern Riverine Plains (Murray Basin),1920,1795,125,-0.0727589182299859,0.717893005686073,0.280814242541493,0.934895833333333,0.0651041666666667,0.934895833333333,TRUE,tier2,27505
Northern Riverine Plains (Murray Basin),1920,1801,119,-0.0877365913605054,0.656196109504197,0.254952954846041,0.938020833333333,0.0619791666666667,0.938020833333333,TRUE,tier2,25646
Southern Hirri Basin (Chhattisgarh Basin),1920,1804,116,-0.335030598448477,0.899200703846256,0.313543945588075,0.939583333333333,0.0604166666666667,0.939583333333333,TRUE,tier2,10335
Northern Karoo Basin (Main Karoo Basin),1920,1811,109,-0.0688639862369113,0.75199733398407,0.168308182130551,0.943229166666667,0.0567708333333333,0.943229166666667,TRUE,tier1,89072
Southwestern Khorat Plateau (Khorat Plateau Aquifer System),1920,107,1813,-0.718977005953738,0.152163824810796,-0.303625587568337,0.0557291666666667,0.944270833333333,0.944270833333333,TRUE,tier2,17185
Middle Chao Phraya Basin,1920,102,1818,-1.03243966765531,0.137529053531629,-0.351812459537909,0.053125,0.946875,0.946875,TRUE,tier2,22178
Devonian and Overlying Unconsolidated Aquifers (Southern Ontario Paleozoic Aquifer System),1920,1819,101,-0.366650148748562,1.46713703126149,0.557887027685607,0.947395833333333,0.0526041666666667,0.947395833333333,TRUE,tier2,21440
Gypsum Hills,1920,97,1823,-2.51679560875967,0.248916948845362,-0.747661131310711,0.0505208333333333,0.949479166666667,0.949479166666667,TRUE,tier2,13266
Southeastern System (Amadeus Basin),1920,97,1823,-0.698694703404105,0.15205201916264,-0.305718118846322,0.0505208333333333,0.949479166666667,0.949479166666667,TRUE,tier1,59372
Southern Mekong Delta (Mekong Delta),1920,92,1828,-0.915449086055899,0.111015457877761,-0.217282170606987,0.0479166666666667,0.952083333333333,0.952083333333333,TRUE,tier2,20929
Western C Aquifer (The C Aquifer),1920,92,1828,-1.26038388801821,0.35123292063606,-0.490456083279394,0.0479166666666667,0.952083333333333,0.952083333333333,TRUE,tier2,13082
Eastern Huaihe Plain (Huaihe River Basin),1920,88,1832,-1.21403453250568,0.146600557032987,-0.37385314274233,0.0458333333333333,0.954166666666667,0.954166666666667,TRUE,tier1,61827
Alsatian Aquifer and Upper Rhine Valley,1920,86,1834,-0.779150206031379,0.210520417776218,-0.352424016413597,0.0447916666666667,0.955208333333333,0.955208333333333,TRUE,tier2,10659
Rush Springs Aquifer,1920,84,1836,-2.26777159782755,0.21819151591858,-0.709690354144403,0.04375,0.95625,0.95625,TRUE,tier2,13372
Michigan Basin,1920,1839,81,-0.337008507256473,1.60677318253279,0.617960717341416,0.9578125,0.0421875,0.9578125,TRUE,tier1,62295
Western Carrizo-Wilcox (Carrizo-Wilcox),1920,70,1850,-1.51593816766089,0.0831911298613617,-0.509574686027203,0.0364583333333333,0.963541666666667,0.963541666666667,TRUE,tier2,43394
Southeastern Surat Basin (Great Artesian Basin),1920,1854,66,-0.0292159687496892,0.625365780642355,0.208123395771661,0.965625,0.034375,0.965625,TRUE,tier2,29141
Clarence-Moreton Basin and Cecil Plains (Great Artesian Basin),1920,1856,64,-0.0226912669218242,0.677945844949892,0.223389811008233,0.966666666666667,0.0333333333333333,0.966666666666667,TRUE,tier2,13238
Hetao Basin,1920,63,1857,-0.787071564356658,0.152328586268096,-0.348682395156122,0.0328125,0.9671875,0.9671875,TRUE,tier2,13190
Hill Country (Edwards-Trinity Aquifer System),1920,63,1857,-1.50769991396621,0.0670099128021905,-0.524733117562595,0.0328125,0.9671875,0.9671875,TRUE,tier2,14375
Northern Mega Aquifer System (Mega Aquifer System),1920,60,1860,-0.895281611238832,0.179429867766427,-0.597604505668763,0.03125,0.96875,0.96875,TRUE,tier1,143434
San Luis Valley (Middle Rio Grande),1920,56,1864,-1.44056838253802,0.202805882831737,-0.534393054399906,0.0291666666666667,0.970833333333333,0.970833333333333,TRUE,tier2,12667
Weipa Depression and Northern Carpentaria Basin (Great Artesian Basin),1920,1867,53,-0.128354733892576,0.467082620018482,0.192241126250836,0.972395833333333,0.0276041666666667,0.972395833333333,TRUE,tier2,43769
Central High Plains (High Plains),1920,48,1872,-2.80997535884512,0.1669658469498,-0.925677987272023,0.025,0.975,0.975,TRUE,tier1,71803
Lachlan Alluvium,1920,1872,48,-0.0301960657323734,0.941379797621602,0.351772500280997,0.975,0.025,0.975,TRUE,tier2,21569
Eastern Parecis Basin (Parecis Basin),1920,43,1877,-0.648187368409331,0.126305355859248,-0.394565900458618,0.0223958333333333,0.977604166666667,0.977604166666667,TRUE,tier1,118059
Coonamble Embayment (Great Artesian Basin),1920,1878,42,-0.0360339137675988,0.5586756509751,0.246061382895791,0.978125,0.021875,0.978125,TRUE,tier1,65411
Central Littoral Plain (North China Plain),1920,39,1881,-0.66915913320648,0.0633438475843908,-0.340059203353199,0.0203125,0.9796875,0.9796875,TRUE,tier2,11974
South-central High Plains (High Plains),1920,39,1881,-3.00097895922644,0.0973566345243346,-1.01874331780405,0.0203125,0.9796875,0.9796875,TRUE,tier2,14464
West Jutland Quaternary and Tertiary Sand Aquifer System,1920,1885,35,-0.101480750823739,1.01702644761038,0.391870921215748,0.981770833333333,0.0182291666666667,0.981770833333333,TRUE,tier2,14018
Stampriet Kalahari Karoo Aquifer System,1920,1886,34,-0.0270935029083147,0.441913181094252,0.14657153669516,0.982291666666667,0.0177083333333333,0.982291666666667,TRUE,tier1,194772
Laizhou Coastal Plain,1920,32,1888,-0.751231120152195,0.0774364859828341,-0.348203582165406,0.0166666666666667,0.983333333333333,0.983333333333333,TRUE,tier2,17871
Staten River Embayment and Central Carpentaria Basin (Great Artesian Basin),1920,1888,32,-0.0789469866318353,0.465637039300605,0.190940654233997,0.983333333333333,0.0166666666666667,0.983333333333333,TRUE,tier1,81429
Central Alluvial-Laucustrine Plain (North China Plain),1920,24,1896,-1.38839525521316,0.0330791872515027,-0.659523598946021,0.0125,0.9875,0.9875,TRUE,tier2,38442
Yellow River Alluvial Plain (North China Plain),1920,24,1896,-1.74658532476674,0.0591533172803381,-0.651293334600058,0.0125,0.9875,0.9875,TRUE,tier2,37315
Bangkok Basin (Lower Chao Phraya Basin),1920,21,1899,-0.973812641672434,0.0779648276744759,-0.555738426351365,0.0109375,0.9890625,0.9890625,TRUE,tier2,13316
Northcentral Piedmont Plain (North China Plain),1920,18,1902,-1.27073792988646,0.0169374336350132,-0.704660016171799,0.009375,0.990625,0.990625,TRUE,tier2,18327
Seymour-Blaine Aquifer System,1920,16,1904,-1.73598417051989,0.0179092947857136,-0.818282950518137,0.00833333333333333,0.991666666666667,0.991666666666667,TRUE,tier2,38612
Wisconsin Precambrian Aquifer,1920,1904,16,-0.0370806056288148,1.16171388239764,0.480391543281934,0.991666666666667,0.00833333333333333,0.991666666666667,TRUE,tier1,65963
Western Satpura Basalt Aquifers (Satpura Basalts),1920,1907,13,-0.0283518692178879,1.8824520588492,0.821959522189791,0.993229166666667,0.00677083333333333,0.993229166666667,TRUE,tier2,25934
