Study_area,n_recipes,recipe_median,recipe_iqr,recipe_p05,recipe_p95,recipe_range,sd_total,sd_nonfootprint,sd_footprint,iqr_canon_nf,dominance_R,area_km2,resolution_ratio,tier,n_wells,continent,trend_cat,anchor
Southeastern Surat Basin (Great Artesian Basin),1920,0.208123395771661,0.21824013456966,0.00797388543525133,0.363767609180307,0.654581749392044,0.12846592228684,0.118587303881721,0.0664772157039763,0.213548086666122,1.04860932986649,29141,0.264918181818182,tier2,208,Oceania,stable,other (new)
Houston-Galveston Area (Gulf Coast Regional Aquifer System),1920,-0.238081086166297,0.40821387522669,-0.79508516114637,0.10180783877936,1.42134094501081,0.278392489924068,0.217282120795893,0.183709107046825,0.29812787212249,1.71460018853223,29004,0.263672727272727,tier2,863,N America,shallowing,other (new)
Western Paris Basin (Paris Basin),1920,-0.179654754901706,0.308874676221523,-0.595888989903925,0.158315224102671,1.37122280403856,0.238281037295207,0.184279284600668,0.161967365847777,0.269818388646673,1.71926802822735,28758,0.261436363636364,tier2,154,Europe,stable,other (new)
Northern Cumberland Plateau and Mountains (Appalachian Plateaus),1920,0.0263653779895959,0.404438056480396,-0.563111475684247,0.391944820732235,1.29761023187795,0.28796239210692,0.273448542625613,0.0990938759241881,0.383727225160649,15.3397404975567,28114,0.255581818181818,tier2,1,N America,stable,other (new)
Southeastern Coastal Karoo Basin (Main Karoo Basin),1920,0.13207102046691,0.146601286820909,-0.033845749448577,0.337044243655901,0.61202348062207,0.112077231707769,0.0916247676082779,0.0823720405144322,0.13467161186055,1.11001858168909,28053,0.255027272727273,tier2,2,Africa,deepening,other (new)
Mount Vernon Hill County (Central Lowland Till Plain),1920,0.093715764535364,0.446578303310019,-0.522956712182395,0.442930016917267,1.30689567522938,0.303504402968589,0.295531216844366,0.0831835605393875,0.410660192184495,4.76524206491962,27711,0.251918181818182,tier2,6,N America,stable,other (new)
Eastern Riverine Plains (Murray Basin),1920,0.280814242541493,0.269433869756618,-0.0124996061030304,0.582445050372159,0.790651923916059,0.182171951392157,0.124398102253743,0.140611236893365,0.235096341359228,0.959473662440061,27505,0.250045454545455,tier2,247,Oceania,stable,other (new)
Central Mallee (Murray Basin),1920,0.0323692763393675,0.236695870016943,-0.17143454784456,0.239702398530157,0.640204029837265,0.137768671411152,0.13686725847774,0.0361123829668404,0.236456329172462,7.31236211571013,27348,0.248618181818182,tier2,1610,Oceania,stable,other (new)
Northern Allegheny Plateau (Appalachian Plateaus),1920,-0.0490521111424751,0.651394215853373,-0.599954949478861,0.701959651677271,1.91068076309226,0.417778695813158,0.380855535505441,0.182431309024568,0.59693035186706,13.279636710464,27131,0.246645454545455,tier2,53,N America,stable,other (new)
Daly Basin (Daly-Wiso-Georgina Basins),1920,0.00873887315066564,0.219299968908636,-0.336112123543498,0.215681773514668,0.824674070325155,0.172197744854784,0.0977820019615757,0.151681495507814,0.158305434750016,25.0947650947345,26597,0.241790909090909,tier2,43,Oceania,deepening,other (new)
Blue Mountains and Clearwater Embayment (Columbia Plateau Regional Aquifer System),1920,-0.181553491635964,0.36904104483709,-0.656155362429464,0.162986199100286,1.243946156649,0.25557432225896,0.244005352410364,0.0889094413610706,0.332104618868118,2.03268492118599,26297,0.239063636363636,tier2,13,N America,stable,other (new)
Western Satpura Basalt Aquifers (Satpura Basalts),1920,0.821959522189791,1.10511114959315,0.0859347114113476,1.67290876357115,1.91080392806709,0.551302777992817,0.0993944925390641,0.557093468853276,0.130225917245262,1.34448366344003,25934,0.235763636363636,tier2,69,S Asia,stable,other (new)
Northern Aquitaine Basin (Aquitaine Basin),1920,-0.108404857367728,0.308235537059674,-0.423298613887756,0.288886605148399,1.25404783743801,0.218552849221025,0.173078080758711,0.14111901798689,0.274655487964239,2.84337385375719,25909,0.235536363636364,tier2,267,Europe,stable,other (new)
Central Wabash and Bloomington Ridged Plain (Central Lowland Till Plain),1920,0.0747318841666923,0.492274272959932,-0.573679647892592,0.537192398225956,1.57956235709814,0.335178710399292,0.288169584969188,0.181244282737488,0.401260247463847,6.58720542709583,25827,0.234790909090909,tier2,50,N America,stable,other (new)
Northern Riverine Plains (Murray Basin),1920,0.254952954846041,0.242889444776268,-0.0143938677990424,0.537254968913801,0.743932700864702,0.166399747126516,0.124920423420043,0.118015650355316,0.231995690564494,0.952683387893828,25646,0.233145454545455,tier2,144,Oceania,deepening,other (new)
Upper Peninsula Jacobsville Sandstone and Cambrian-Ordovician and Silurian-Devonian Aquifers (Northern Midwest Aquifer System),1920,1.0305399383704,0.534100874385661,0.393519971646294,1.63594891237046,1.8576251576727,0.376046860955548,0.297442980351821,0.239502393861904,0.423385762434963,0.518272853384252,25514,0.231945454545455,tier2,8,N America,stable,other (new)
Eastern Flatwoods Southshores (Floridan Aquifer System),1920,0.177526023485895,0.37448066435779,-0.343211327867153,0.483659800704086,1.2316985738965,0.258341726173408,0.237119402369931,0.115651594322645,0.311871869104426,2.10944095408943,25461,0.231463636363636,tier2,171,N America,stable,other (new)
Lower Limestone Coast Aquifer System (Murray Basin),1920,0.0149978709197235,0.243539324705794,-0.211296924254053,0.249508104246185,0.665354180692983,0.147520937437033,0.145215156189022,0.0452572336167801,0.229924988005081,16.2382598176331,25446,0.231327272727273,tier2,699,Oceania,stable,other (new)
Eastern Malwa Plateau (Malwa Plateau),1920,0.172831264048394,1.14831114287865,-0.409246930854932,1.49300839899404,2.44462723188878,0.654943808969264,0.103529294163494,0.665334450728274,0.126378835374934,6.64411701899668,25218,0.229254545454545,tier2,80,S Asia,stable,other (new)
Southern St. Lawrence Lowlands (St. Lawrence Lowlands),1920,0.471262766566302,0.670215034684235,-0.438492484286894,1.00166976414426,1.90962361495737,0.453616359937155,0.434398181142237,0.145770864863524,0.630499413637763,1.4221684423905,24965,0.226954545454545,tier2,91,N America,stable,other (new)
Southern Paris Basin (Paris Basin),1920,-0.23110938410948,0.28441535589198,-0.572344239555019,0.104078935131186,1.05049990286712,0.208589070673838,0.17937214615905,0.117959846900628,0.275568689797691,1.2306525630186,24635,0.223954545454545,tier2,116,Europe,stable,other (new)
Westside Middle Indus Plain (Indus Basin),1920,-0.70920159828949,1.05196284933098,-1.27740056246005,1.03589682372524,2.82045320109437,0.753495376507635,0.137508735964108,0.762947310879574,0.170102162048667,1.48330580735885,24478,0.222527272727273,tier2,113,S Asia,stable,other (new)
