Study_area,dominance_R,abs_GRACE_trend,area_km2,lon,lat,n_wells,trend_m_yr,continent,trend_cat,anchor,tier,resolution_ratio,ai_mean,climate_zone,abs_trend_m_yr
Northern Piedmont and Tista Fan (Bengal Basin),0.575013321468481,0.989337273513922,31898,88.7770928697334,26.0906343317942,199,0.04,S Asia,stable,other (new),tier2,0.289981818181818,1.87634773577167,humid,0.04
Central Paris Basin (Paris Basin),1.24888158603103,0.235376503711317,31880,2.47874175534527,48.5354624750024,127,0.02,Europe,stable,other (new),tier2,0.289818181818182,0.813308526396766,humid,0.02
Southern Mallee (Murray Basin),3.8072992752677,0.0627313896610475,31573,141.569332402412,-35.2113621763477,247,0.03,Oceania,stable,other (new),tier2,0.287027272727273,0.206244844284508,semi-arid,0.03
Victoria Area (Gulf Coast Regional Aquifer System),1.64465213887662,0.370917307150214,31242,-96.873859213823,28.8836617111924,376,0.02,N America,stable,other (new),tier2,0.284018181818182,0.615160291150187,dry sub-humid,0.02
Central Urucuia Aquifer (Urucuia Aquifer System),0.54496218291916,1.00432256806524,31045,-45.2590691724461,-12.7142626647886,8,0.2,S America,deepening,other (new),tier2,0.282227272727273,0.824915282927616,humid,0.2
Southcentral Floodplains (Bengal Basin),0.470461198776592,0.386982485300022,30739,89.4537880287271,23.1821551502968,97,0.08,S Asia,stable,other (new),tier2,0.279445454545455,1.2505894016656,humid,0.08
Eastern Silurian-Devonian Aquifers (Northern Midwest Aquifer System),1.16120031015203,0.301602399264053,30268,-87.9925779731633,42.7445662467023,229,-0.02,N America,stable,other (new),tier2,0.275163636363636,0.933702288658934,humid,0.02
Southern Saurashtra Deccan Trap Basalts (Saurashtra Deccan Trap Basalts),1.33164475237013,0.213408491249056,30217,70.9906574416292,21.6805620582342,144,0.36,S Asia,deepening,other (new),tier2,0.2747,0.331596734349899,semi-arid,0.36
Northeast Missouri Carbonates (Northern Midwest Aquifer System),3.35906415169747,0.144554903647053,29764,-91.5849866027528,39.5394935795698,30,-0.02,N America,stable,other (new),tier2,0.270581818181818,0.851466942719117,humid,0.02
Eastern C Aquifer (The C Aquifer),0.708068590409545,0.5181370902959,29532,-109.253895573045,34.7210705126496,7,0.04,N America,stable,other (new),tier2,0.268472727272727,0.201283531547022,semi-arid,0.04
Southern Huaihe River Basin (Huaihe River Basin),3.85498882754346,0.0685547457026615,29395,115.639347227928,32.1569646660313,1,-0.24,E Asia,shallowing,other (new),tier2,0.267227272727273,0.950531457452856,humid,0.24
Western Huaihe Plain (Huaihe River Basin),1.28193439925849,0.387205078126679,29254,113.806215529375,33.9929413472627,23,0.33,E Asia,deepening,other (new),tier2,0.265945454545455,0.624726573869029,dry sub-humid,0.33
Southeastern Surat Basin (Great Artesian Basin),1.04860932986649,0.208123395771661,29141,150.135904495913,-28.7181744124975,208,0.04,Oceania,stable,other (new),tier2,0.264918181818182,0.349928079046489,semi-arid,0.04
Houston-Galveston Area (Gulf Coast Regional Aquifer System),1.71460018853223,0.238081086166297,29004,-95.4826655321956,29.9665397952715,863,-0.12,N America,shallowing,other (new),tier2,0.263672727272727,0.824094691399144,humid,0.12
Western Paris Basin (Paris Basin),1.71926802822735,0.179654754901706,28758,0.519857698188315,48.4165227239621,154,0.02,Europe,stable,other (new),tier2,0.261436363636364,0.891578571286597,humid,0.02
Northern Cumberland Plateau and Mountains (Appalachian Plateaus),15.3397404975567,0.0263653779895959,28114,-84.083208084489,36.8618557302166,1,-0.03,N America,stable,other (new),tier2,0.255581818181818,1.24879482021071,humid,0.03
Southeastern Coastal Karoo Basin (Main Karoo Basin),1.11001858168909,0.13207102046691,28053,28.0285285589239,-32.327545858883,2,0.23,Africa,deepening,other (new),tier2,0.255027272727273,0.569555331628039,dry sub-humid,0.23
Mount Vernon Hill County (Central Lowland Till Plain),4.76524206491962,0.093715764535364,27711,-88.2988584246375,38.2608153305598,6,0,N America,stable,other (new),tier2,0.251918181818182,1.00129903160661,humid,0
Eastern Riverine Plains (Murray Basin),0.959473662440061,0.280814242541493,27505,145.880550785384,-34.7641134879128,247,0.06,Oceania,stable,other (new),tier2,0.250045454545455,0.265562391956706,semi-arid,0.06
Central Mallee (Murray Basin),7.31236211571013,0.0323692763393675,27348,140.481616956945,-34.4595626211785,1610,0.01,Oceania,stable,other (new),tier2,0.248618181818182,0.166985352907669,arid,0.01
Northern Allegheny Plateau (Appalachian Plateaus),13.279636710464,0.0490521111424751,27131,-79.8000985539556,41.1153349781998,53,-0.02,N America,stable,other (new),tier2,0.246645454545455,1.13949206857034,humid,0.02
Daly Basin (Daly-Wiso-Georgina Basins),25.0947650947345,0.00873887315066564,26597,132.048325577392,-14.7067113009834,43,0.11,Oceania,deepening,other (new),tier2,0.241790909090909,0.477307592534992,semi-arid,0.11
Blue Mountains and Clearwater Embayment (Columbia Plateau Regional Aquifer System),2.03268492118599,0.181553491635964,26297,-117.494723819855,45.6782859866709,13,0.03,N America,stable,other (new),tier2,0.239063636363636,0.546681473265334,dry sub-humid,0.03
Western Satpura Basalt Aquifers (Satpura Basalts),1.34448366344003,0.821959522189791,25934,75.7620819127093,21.9377291001028,69,0.01,S Asia,stable,other (new),tier2,0.235763636363636,0.445541657225097,semi-arid,0.01
Northern Aquitaine Basin (Aquitaine Basin),2.84337385375719,0.108404857367728,25909,0.407726848140207,44.9893784176818,267,0.01,Europe,stable,other (new),tier2,0.235536363636364,1.0199442541696,humid,0.01
Central Wabash and Bloomington Ridged Plain (Central Lowland Till Plain),6.58720542709583,0.0747318841666923,25827,-88.4530684080598,40.222643308755,50,-0.01,N America,stable,other (new),tier2,0.234790909090909,0.944575684400498,humid,0.01
Northern Riverine Plains (Murray Basin),0.952683387893828,0.254952954846041,25646,145.195801444107,-33.4523351658182,144,0.14,Oceania,deepening,other (new),tier2,0.233145454545455,0.210969987435432,semi-arid,0.14
Upper Peninsula Jacobsville Sandstone and Cambrian-Ordovician and Silurian-Devonian Aquifers (Northern Midwest Aquifer System),0.518272853384252,1.0305399383704,25514,-86.0254064088526,46.1017120685465,8,0.02,N America,stable,other (new),tier2,0.231945454545455,1.02749030560947,humid,0.02
