centre,recipe_idx_per_centre,truncation,filter,gia_model,c20_treatment,c30_treatment,geocenter,spearman_rho_raw,n_aquifers,skill_score,abs_score,global_rank
JPL,263,60,DDK7,none,original,original,GravIS,-0.613739696437233,31,0.613739696437233,0.613739696437233,120
JPL,257,60,DDK7,none,replaced,replaced,GravIS,-0.613132033371453,31,0.613132033371453,0.613132033371453,121
JPL,259,60,DDK7,none,replaced,original,GravIS,-0.613132033371453,31,0.613132033371453,0.613132033371453,122
GFZ,292,60,DDK8,none,original,replaced,none,-0.611714152884635,31,0.611714152884635,0.611714152884635,123
GFZ,294,60,DDK8,none,original,original,none,-0.611714152884635,31,0.611714152884635,0.611714152884635,124
CSR,589,96,DDK7,Geruo_ICE5G_VM2,original,replaced,GravIS,-0.610701381108336,31,0.610701381108336,0.610701381108336,125
CSR,591,96,DDK7,Geruo_ICE5G_VM2,original,original,GravIS,-0.610701381108336,31,0.610701381108336,0.610701381108336,126
CSR,269,60,DDK7,Geruo_ICE5G_VM2,original,replaced,GravIS,-0.608068174489958,31,0.608068174489958,0.608068174489958,127
CSR,271,60,DDK7,Geruo_ICE5G_VM2,original,original,GravIS,-0.608068174489958,31,0.608068174489958,0.608068174489958,128
GFZ,620,96,DDK8,Geruo_ICE5G_VM2,original,replaced,none,-0.606650294003139,31,0.606650294003139,0.606650294003139,129
CSR,265,60,DDK7,Geruo_ICE5G_VM2,replaced,replaced,GravIS,-0.60644773964788,31,0.60644773964788,0.60644773964788,130
GFZ,265,60,DDK7,Geruo_ICE5G_VM2,replaced,replaced,GravIS,-0.60644773964788,31,0.60644773964788,0.60644773964788,131
GFZ,267,60,DDK7,Geruo_ICE5G_VM2,replaced,original,GravIS,-0.60644773964788,31,0.60644773964788,0.60644773964788,132
CSR,637,96,DDK8,Peltier_ICE6G_D,original,replaced,GravIS,-0.605434967871581,31,0.605434967871581,0.605434967871581,133
CSR,639,96,DDK8,Peltier_ICE6G_D,original,original,GravIS,-0.605434967871581,31,0.605434967871581,0.605434967871581,134
GFZ,289,60,DDK8,none,replaced,replaced,GravIS,-0.604827304805801,31,0.604827304805801,0.604827304805801,135
GFZ,291,60,DDK8,none,replaced,original,GravIS,-0.604827304805801,31,0.604827304805801,0.604827304805801,136
JPL,293,60,DDK8,none,original,replaced,GravIS,-0.604017087384762,31,0.604017087384762,0.604017087384762,137
JPL,295,60,DDK8,none,original,original,GravIS,-0.604017087384762,31,0.604017087384762,0.604017087384762,138
GFZ,256,60,DDK7,none,replaced,replaced,none,-0.604017087384762,31,0.604017087384762,0.604017087384762,139
GFZ,258,60,DDK7,none,replaced,original,none,-0.604017087384762,31,0.604017087384762,0.604017087384762,140
JPL,289,60,DDK8,none,replaced,replaced,GravIS,-0.603611978674242,31,0.603611978674242,0.603611978674242,141
JPL,291,60,DDK8,none,replaced,original,GravIS,-0.603611978674242,31,0.603611978674242,0.603611978674242,142
GFZ,622,96,DDK8,Geruo_ICE5G_VM2,original,original,none,-0.603611978674242,31,0.603611978674242,0.603611978674242,143
GFZ,631,96,DDK8,Caron_2018,original,original,GravIS,-0.602599206897943,31,0.602599206897943,0.602599206897943,144
JPL,579,96,DDK7,none,replaced,original,GravIS,-0.601991543832164,31,0.601991543832164,0.601991543832164,145
